,freq,epsilon_r,epsilon_i
0,75000000000.0,2.178565169964989,0.0
1,75025000000.0,2.1771606610938132,0.0
2,75050000000.0,2.1758226428313656,0.0
3,75075000000.0,2.1745508140852445,0.0
4,75100000000.0,2.1733448065115097,0.0
5,75125000000.0,2.172204185192318,0.0
6,75150000000.0,2.171128449354318,0.0
7,75175000000.0,2.170117033245293,0.0
8,75200000000.0,2.169169307076892,0.0
9,75225000000.0,2.1682845781468694,0.0
10,75250000000.0,2.1674620920091496,0.0
11,75275000000.0,2.16670103375267,0.0
12,75300000000.0,2.1660005294122713,0.0
13,75325000000.0,2.165359647483683,0.0
14,75350000000.0,2.1647774004695237,0.0
15,75375000000.0,2.164252746595276,0.0
16,75400000000.0,2.163784591567357,0.0
17,75425000000.0,2.1633717904271417,0.0
18,75450000000.0,2.1630131494803817,0.0
19,75475000000.0,2.1627074282963696,0.0
20,75500000000.0,2.16245334181753,0.0
21,75525000000.0,2.162249562463641,0.0
22,75550000000.0,2.162094722359268,0.0
23,75575000000.0,2.1619874155807204,0.0
24,75600000000.0,2.161926200486304,0.0
25,75625000000.0,2.1619096020682997,0.0
26,75650000000.0,2.1619361143347446,0.0
27,75675000000.0,2.1620042027808433,0.0
28,75700000000.0,2.1621123068123818,0.0
29,75725000000.0,2.1622588422893423,0.0
30,75750000000.0,2.162442204003572,0.0
31,75775000000.0,2.1626607682199284,0.0
32,75800000000.0,2.162912895219134,0.0
33,75825000000.0,2.163196931856791,0.0
34,75850000000.0,2.1635112141070683,0.0
35,75875000000.0,2.163854069602104,0.0
36,75900000000.0,2.1642238201819866,0.0
37,75925000000.0,2.1646187844141487,0.0
38,75950000000.0,2.1650372801196798,0.0
39,75975000000.0,2.1654776268262528,0.0
40,76000000000.0,2.165938148280588,0.0
41,76025000000.0,2.1664171748451224,0.0
42,76050000000.0,2.166913045924742,0.0
43,76075000000.0,2.1674241122988875,0.0
44,76100000000.0,2.167948738476016,0.0
45,76125000000.0,2.1684853049649093,0.0
46,76150000000.0,2.169032210496133,0.0
47,76175000000.0,2.1695878742139483,0.0
48,76200000000.0,2.170150737794564,0.0
49,76225000000.0,2.170719267515973,0.0
50,76250000000.0,2.1712919562886155,0.0
51,76275000000.0,2.1718673255622254,0.0
52,76300000000.0,2.1724439272668516,0.0
53,76325000000.0,2.1730203455771617,0.0
54,76350000000.0,2.1735951986965203,0.0
55,76375000000.0,2.174167140497698,0.0
56,76400000000.0,2.1747348621809888,0.0
57,76425000000.0,2.1752970937521328,0.0
58,76450000000.0,2.175852605481436,0.0
59,76475000000.0,2.1764002093212285,0.0
60,76500000000.0,2.176938760135572,0.0
61,76525000000.0,2.177467156972474,0.0
62,76550000000.0,2.1779843441551634,0.0
63,76575000000.0,2.178489312341597,0.0
64,76600000000.0,2.1789810995031167,0.0
65,76625000000.0,2.179458791763853,0.0
66,76650000000.0,2.17992152424392,0.0
67,76675000000.0,2.180368481712869,0.0
68,76700000000.0,2.1807988992355782,0.0
69,76725000000.0,2.181212062685556,0.0
70,76750000000.0,2.181607309203341,0.0
71,76775000000.0,2.181984027507494,0.0
72,76800000000.0,2.1823416581928,0.0
73,76825000000.0,2.1826796938718043,0.0
74,76850000000.0,2.182997679261512,0.0
75,76875000000.0,2.1833294165529633,0.00045117315104749854
76,76900000000.0,2.183645711253035,0.0009749307967502408
77,76925000000.0,2.1839412616591507,0.0015054674924970099
78,76950000000.0,2.1842157692631736,0.0020421605272556488
79,76975000000.0,2.18446898585369,0.0025843687207915754
80,77000000000.0,2.1847007131864,0.003131434252787684
81,77025000000.0,2.184910802612961,0.003682684563583583
82,77050000000.0,2.185099154566048,0.004237434239786082
83,77075000000.0,2.18526571801138,0.004794987044202803
84,77100000000.0,2.185410489777015,0.00535463790297911
85,77125000000.0,2.1855335137923757,0.005915674979165504
86,77150000000.0,2.1856348802751038,0.006477381751228941
87,77175000000.0,2.1857147247922337,0.007039039139454981
88,77200000000.0,2.185773227254216,0.007599927613936691
89,77225000000.0,2.185810610869069,0.008159329306402738
90,77250000000.0,2.185827140903754,0.00871653017246026
91,77275000000.0,2.1858231234941568,0.009270822069523642
92,77300000000.0,2.1857989042922803,0.00982150488427272
93,77325000000.0,2.18575486707999,0.010367888576966905
94,77350000000.0,2.185691432276634,0.010909295255314965
95,77375000000.0,2.1856090554145315,0.011445061140400087
96,77400000000.0,2.185508225514612,0.011974538551937286
97,77425000000.0,2.1853894634379234,0.012497097779993178
98,77450000000.0,2.185253320127882,0.013012128949326166
99,77475000000.0,2.1851003748186617,0.013519043775738529
100,77500000000.0,2.1849312332132755,0.01401727725999202
101,77525000000.0,2.184746525600168,0.014506289306686324
102,77550000000.0,2.184546904879124,0.014985566259607709
103,77575000000.0,2.184333044630594,0.01545462233658379
104,77600000000.0,2.184105637100457,0.015913000949522596
105,77625000000.0,2.1838653911515715,0.0163602759839511
106,77650000000.0,2.1836130302265864,0.016796052909410098
107,77675000000.0,2.1833492902488216,0.01721996979205414
108,77700000000.0,2.1830749175440824,0.01763169823048245
109,77725000000.0,2.1827906667480987,0.0180309441391162
110,77750000000.0,2.1824972986984235,0.01841744842266989
111,77775000000.0,2.1821955783401465,0.018790987547454712
112,77800000000.0,2.1818862726508,0.019151373959390358
113,77825000000.0,2.181570148541202,0.01949845641132341
114,77850000000.0,2.181247970849246,0.019832120144815918
115,77875000000.0,2.1809205002668484,0.020152286963535437
116,77900000000.0,2.180588491388422,0.020458915195227263
117,77925000000.0,2.1802526907366184,0.02075199946649705
