freq,epsilon_r       ,epsilon_i       
76171428571,1.974,0.00256
76200000000,1.974,0.00256
76228571429,1.974,0.00255
76257142857,1.974,0.00254
76285714286,1.974,0.00253
76314285714,1.974,0.00251
76342857143,1.974,0.00249
76371428571,1.974,0.00247
76400000000,1.974,0.00244
76428571429,1.974,0.00241
76457142857,1.974,0.00238
76485714286,1.974,0.00235
76514285714,1.973,0.00231
76542857143,1.973,0.00227
76571428571,1.973,0.00223
76600000000,1.973,0.00218
76628571429,1.973,0.00214
76657142857,1.973,0.00208
76685714286,1.973,0.00203
76714285714,1.973,0.00198
76742857143,1.973,0.00192
76771428571,1.973,0.00186
76800000000,1.973,0.0018
76828571429,1.973,0.00173
76857142857,1.973,0.00166
76885714286,1.973,0.00159
76914285714,1.973,0.00152
76942857143,1.973,0.00145
76971428571,1.973,0.00138
77000000000,1.973,0.0013
77028571429,1.973,0.00122
77057142857,1.973,0.00114
77085714286,1.973,0.00106
77114285714,1.973,0.00098
77142857143,1.973,0.0009
77171428571,1.973,0.00081
77200000000,1.973,0.00072
77228571429,1.973,0.00064
77257142857,1.973,0.00055
77285714286,1.973,0.00053
77314285714,1.973,0.00043
77342857143,1.973,0.00034
77371428571,1.973,0.00019
77400000000,1.973,0.00009
77428571429,1.972,0
77457142857,1.972,-0.00009
77485714286,1.972,-0.00018
77514285714,1.972,-0.00028
77542857143,1.972,-0.00037
77571428571,1.972,-0.00047
77600000000,1.972,-0.00056
77628571429,1.972,-0.00066
77657142857,1.972,-0.00087
77685714286,1.972,-0.00084
77714285714,1.972,-0.00094
77742857143,1.972,-0.0012
77771428571,1.972,-0.00113
77800000000,1.972,-0.00122
77828571429,1.972,-0.00131
77857142857,1.972,-0.0014
77885714286,1.972,-0.0015
77914285714,1.972,-0.00159
77942857143,1.972,-0.00168
77971428571,1.972,-0.00206
78000000000,1.972,-0.00186
78028571429,1.972,-0.00195
78057142857,1.972,-0.00203
78085714286,1.972,-0.00212
78114285714,1.972,-0.00221
78142857143,1.972,-0.00229
78171428571,1.972,-0.00237
78200000000,1.972,-0.00246
78228571429,1.972,-0.00254
78257142857,1.972,-0.00262
78285714286,1.972,-0.0027
78314285714,1.972,-0.00278
78342857143,1.972,-0.00286
78371428571,1.972,-0.00293
78400000000,1.972,-0.00301
78428571429,1.972,-0.00308
78457142857,1.972,-0.00315
78485714286,1.972,-0.00322
78514285714,1.972,-0.00329
78542857143,1.972,-0.00336
78571428571,1.972,-0.00343
