#
#"Frequency / GHz"	"S1,4 [Mag]"	"S1,4 [Pha in deg.]"
#---------------------------------------------------
290.00000000000	0.59741057521899	155.32252879375
290.61000000000	0.60001653602989	152.19019889873
291.22000000000	0.60311510430571	149.03191230101
291.83000000000	0.60667979982117	145.84288549122
292.44000000000	0.61067818731786	142.61880196137
293.05000000000	0.61507234248994	139.35588529422
293.66000000000	0.61981937028267	136.05095404791
294.27000000000	0.62487196166959	132.70146040032
294.88000000000	0.63017898609462	129.30551493423
295.49000000000	0.63568612568498	125.86189985097
296.10000000000	0.64133656300226	122.37007244783
296.71000000000	0.64707173588716	118.83016004817
297.32000000000	0.65283217074043	115.24294688394
297.93000000000	0.65855839966034	111.60985282557
298.54000000000	0.66419195788859	107.93290342525
299.15000000000	0.66967644699097	104.21469054450
299.76000000000	0.67495863737992	100.45832289948
300.37000000000	0.67998957262695	96.667366169081
300.98000000000	0.68472562902715	92.845772834435
301.59000000000	0.68912947846192	88.997802590878
302.20000000000	0.69317090183131	85.127934913496
302.81000000000	0.69682740475121	81.240776072979
303.42000000000	0.70008459672797	77.340963498821
304.03000000000	0.70293630883821	73.433070793411
304.64000000000	0.70538444163951	69.521516858137
305.25000000000	0.70743855279158	65.610482477190
305.86000000000	0.70911521071826	61.703837325724
306.47000000000	0.71043715480028	57.805079767610
307.08000000000	0.71143231270415	53.917291048715
307.69000000000	0.71213273077869	50.043104652968
308.30000000000	0.71257347389293	46.184690750211
308.91000000000	0.71279154714404	42.343754898626
309.52000000000	0.71282488445889	38.521549525470
310.13000000000	0.71271143941307	34.718896233376
310.74000000000	0.71248840280310	30.936216680212
311.35000000000	0.71219156072023	27.173569655227
311.96000000000	0.71185479695577	23.430692005837
312.57000000000	0.71150973511881	19.707041231439
313.18000000000	0.71118550920237	16.001837822018
313.79000000000	0.71090864659933	12.314105747841
314.40000000000	0.71070304467270	8.6427098715100
315.01000000000	0.71059002073218	4.9863894278586
315.62000000000	0.71058841539638	1.3437870775472
316.23000000000	0.71071473053169	-2.2865266313853
316.84000000000	0.71098328495827	-5.9060332766533
317.45000000000	0.71140637362312	-9.5162507027897
318.06000000000	0.71199441871493	-13.118720771621
318.67000000000	0.71275610402715	-16.715000089304
319.28000000000	0.71369848660412	-20.306653016505
319.89000000000	0.71482708220857	-23.895246255184
320.50000000000	0.71614592335391	-27.482344331691
321.11000000000	0.71765759051344	-31.069505352556
321.72000000000	0.71936321864905	-34.658276487664
322.33000000000	0.72126248241601	-38.250188727344
322.94000000000	0.72335356434022	-41.846750558720
323.55000000000	0.72563311097702	-45.449440307344
324.16000000000	0.72809618259684	-49.059696989464
324.77000000000	0.73073620234347	-52.678909616329
325.38000000000	0.73354491110377	-56.308404984209
325.99000000000	0.73651233452602	-59.949434072334
326.60000000000	0.73962676872167	-63.603157256092
327.21000000000	0.74287479115855	-67.270628624850
327.82000000000	0.74624130306733	-70.952779772293
328.43000000000	0.74970960928972	-74.650403501280
329.04000000000	0.75326154084714	-78.364137953022
329.65000000000	0.75687762455584	-82.094451729279
330.26000000000	0.76053730272187	-85.841630623136
330.87000000000	0.76421920429726	-89.605766605040
331.48000000000	0.76790146687180	-93.386749722679
