#
#"Frequency / GHz"	"S1,1 [Mag]"	"S1,1 [Pha in deg.]"	"Ref.Imp. [Mag]"	"Ref.Imp. [Pha in deg.]"
#---------------------------------------------------------------------------------------------
400.00000000000	0.43924480397537	132.82408392883	376.73031346177	0.0000000000000
401.50000000000	0.39733016466000	133.84151120828	376.73031346177	0.0000000000000
403.00000000000	0.36245463752358	137.80341960134	376.73031346177	0.0000000000000
404.50000000000	0.34476763254960	144.59218365697	376.73031346177	0.0000000000000
406.00000000000	0.35181681543806	152.34397354559	376.73031346177	0.0000000000000
407.50000000000	0.38247005939155	158.44519414520	376.73031346177	0.0000000000000
409.00000000000	0.42820920316873	161.67017497553	376.73031346177	0.0000000000000
410.50000000000	0.47967680476608	162.34513869800	376.73031346177	0.0000000000000
412.00000000000	0.53040643492628	161.29218016517	376.73031346177	0.0000000000000
413.50000000000	0.57701917789571	159.22161007403	376.73031346177	0.0000000000000
415.00000000000	0.61826900285630	156.61289906169	376.73031346177	0.0000000000000
416.50000000000	0.65412955543548	153.75823347353	376.73031346177	0.0000000000000
418.00000000000	0.68517243440033	150.82436148252	376.73031346177	0.0000000000000
419.50000000000	0.71219598834079	147.89903866463	376.73031346177	0.0000000000000
421.00000000000	0.73601722870335	145.02115971795	376.73031346177	0.0000000000000
422.50000000000	0.75735722241578	142.19973850527	376.73031346177	0.0000000000000
424.00000000000	0.77677846500175	139.42639923676	376.73031346177	0.0000000000000
425.50000000000	0.79465616296305	136.68438800613	376.73031346177	0.0000000000000
427.00000000000	0.81117942668070	133.95551620027	376.73031346177	0.0000000000000
428.50000000000	0.82638171293492	131.22525666951	376.73031346177	0.0000000000000
430.00000000000	0.84019462026207	128.48567602345	376.73031346177	0.0000000000000
431.50000000000	0.85251159303630	125.73604645213	376.73031346177	0.0000000000000
433.00000000000	0.86324523368095	122.98152290268	376.73031346177	0.0000000000000
434.50000000000	0.87236621889389	120.23070433706	376.73031346177	0.0000000000000
436.00000000000	0.87991982456491	117.49293809199	376.73031346177	0.0000000000000
437.50000000000	0.88602256496188	114.77596311193	376.73031346177	0.0000000000000
439.00000000000	0.89084419780590	112.08419015253	376.73031346177	0.0000000000000
440.50000000000	0.89458076721586	109.41774939200	376.73031346177	0.0000000000000
442.00000000000	0.89742466813348	106.77235724041	376.73031346177	0.0000000000000
443.50000000000	0.89953816248616	104.13993837753	376.73031346177	0.0000000000000
445.00000000000	0.90103580048428	101.50975612069	376.73031346177	0.0000000000000
446.50000000000	0.90197794136438	98.869664776054	376.73031346177	0.0000000000000
448.00000000000	0.90237343128617	96.207120008134	376.73031346177	0.0000000000000
449.50000000000	0.90218684591777	93.509756120233	376.73031346177	0.0000000000000
451.00000000000	0.90134557903477	90.765542410175	376.73031346177	0.0000000000000
452.50000000000	0.89974364107369	87.962658950870	376.73031346177	0.0000000000000
454.00000000000	0.89724088622282	85.089265143557	376.73031346177	0.0000000000000
455.50000000000	0.89365764475565	82.133313656906	376.73031346177	0.0000000000000
457.00000000000	0.88876532753909	79.082537811990	376.73031346177	0.0000000000000
458.50000000000	0.88227387021700	75.924742788438	376.73031346177	0.0000000000000
460.00000000000	0.87381739623633	72.648571502727	376.73031346177	0.0000000000000
461.50000000000	0.86294071433176	69.244993997059	376.73031346177	0.0000000000000
463.00000000000	0.84909175072732	65.709872263266	376.73031346177	0.0000000000000
464.50000000000	0.83162915956045	62.048042669852	376.73031346177	0.0000000000000
466.00000000000	0.80985991242175	58.279342431723	376.73031346177	0.0000000000000
467.50000000000	0.78312646259803	54.446700074558	376.73031346177	0.0000000000000
469.00000000000	0.75096116738719	50.625536529318	376.73031346177	0.0000000000000
470.50000000000	0.71330699648624	46.932059292850	376.73031346177	0.0000000000000
472.00000000000	0.67076036562685	43.525812933707	376.73031346177	0.0000000000000
473.50000000000	0.62473546968714	40.600319730220	376.73031346177	0.0000000000000
475.00000000000	0.57742449200253	38.357010708340	376.73031346177	0.0000000000000
476.50000000000	0.53148907980875	36.963485028620	376.73031346177	0.0000000000000
478.00000000000	0.48955908311867	36.505902676123	376.73031346177	0.0000000000000
479.50000000000	0.45373341799557	36.951955511850	376.73031346177	0.0000000000000
481.00000000000	0.42526885166318	38.140196925858	376.73031346177	0.0000000000000
482.50000000000	0.40451708153082	39.802614348382	376.73031346177	0.0000000000000
484.00000000000	0.39104310668315	41.614718546830	376.73031346177	0.0000000000000
485.50000000000	0.38381859904297	43.257639877644	376.73031346177	0.0000000000000
487.00000000000	0.38142359003331	44.473537244631	376.73031346177	0.0000000000000
488.50000000000	0.38223997754607	45.099447682080	376.73031346177	0.0000000000000
490.00000000000	0.38463608627457	45.074154291538	376.73031346177	0.0000000000000
491.50000000000	0.38713211609701	44.423385336423	376.73031346177	0.0000000000000
493.00000000000	0.38853062126558	43.234558369157	376.73031346177	0.0000000000000
494.50000000000	0.38800386823803	41.630985593319	376.73031346177	0.0000000000000
496.00000000000	0.38514048315064	39.749890491855	376.73031346177	0.0000000000000
497.50000000000	0.37995442628269	37.722987467997	376.73031346177	0.0000000000000
499.00000000000	0.37284599267853	35.655385544946	376.73031346177	0.0000000000000
500.50000000000	0.36448483704186	33.599850685591	376.73031346177	0.0000000000000
502.00000000000	0.35558025574387	31.530497866445	376.73031346177	0.0000000000000
503.50000000000	0.34654418708053	29.331152296537	376.73031346177	0.0000000000000
505.00000000000	0.33714446855271	26.818704951057	376.73031346177	0.0000000000000
506.50000000000	0.32632639975171	23.807176087865	376.73031346177	0.0000000000000
508.00000000000	0.31234462781242	20.190342957079	376.73031346177	0.0000000000000
