n,x,y
0,1250.0000116747433,1.2732925824820995e-11
1,1250.049906192103,1.1823431123048067e-11
2,1250.0998007094627,1.1823431123048067e-11
3,1250.1496952268221,1.1823431123048067e-11
4,1250.1995897441818,1.1823431123048067e-11
5,1250.2494842615415,1.1823431123048067e-11
6,1250.2993787789012,1.0913936421275139e-11
7,1250.349273296261,1.0913936421275139e-11
8,1250.3991678136206,1.0913936421275139e-11
9,1250.4490623309803,1.0913936421275139e-11
10,1250.49895684834,1.0913936421275139e-11
11,1250.5488513656996,1.1823431123048067e-11
12,1250.5987458830593,1.1823431123048067e-11
13,1250.648640400419,1.1823431123048067e-11
14,1250.6985349177785,1.2732925824820995e-11
15,1250.7484294351382,1.3642420526593924e-11
16,1250.7983239524979,1.4551915228366852e-11
17,1250.8482184698576,1.6370904631912708e-11
18,1250.8981129872172,1.7280399333685637e-11
19,1250.948007504577,1.9099388737231493e-11
20,1250.9979020219366,2.000888343900442e-11
21,1251.0477965392963,2.1827872842550278e-11
22,1251.097691056656,2.2737367544323206e-11
23,1251.1475855740157,2.4556356947869062e-11
24,1251.1974800913754,2.4556356947869062e-11
25,1251.2473746087348,2.637534635141492e-11
26,1251.2972691260945,2.7284841053187847e-11
27,1251.3471636434542,2.7284841053187847e-11
28,1251.397058160814,2.8194335754960775e-11
29,1251.4469526781736,2.9103830456733704e-11
30,1251.4968471955333,3.001332515850663e-11
31,1251.546741712893,3.092281986027956e-11
32,1251.5966362302527,3.092281986027956e-11
33,1251.6465307476124,3.092281986027956e-11
34,1251.696425264972,3.001332515850663e-11
35,1251.7463197823317,3.001332515850663e-11
36,1251.7962142996912,2.9103830456733704e-11
37,1251.846108817051,2.9103830456733704e-11
38,1251.8960033344106,2.8194335754960775e-11
39,1251.9458978517703,2.7284841053187847e-11
40,1251.99579236913,2.637534635141492e-11
41,1252.0456868864896,2.4556356947869062e-11
42,1252.0955814038493,2.4556356947869062e-11
43,1252.145475921209,2.2737367544323206e-11
44,1252.1953704385687,2.1827872842550278e-11
45,1252.2452649559284,2.091837814077735e-11
46,1252.295159473288,1.9099388737231493e-11
47,1252.3450539906476,1.8189894035458565e-11
48,1252.3949485080072,1.7280399333685637e-11
49,1252.444843025367,1.7280399333685637e-11
50,1252.4947375427266,1.546140993013978e-11
51,1252.5446320600863,1.4551915228366852e-11
52,1252.594526577446,1.3642420526593924e-11
53,1252.6444210948057,1.2732925824820995e-11
54,1252.6943156121654,1.1823431123048067e-11
55,1252.744210129525,1.1823431123048067e-11
56,1252.7941046468848,1.1823431123048067e-11
57,1252.8439991642445,1.1823431123048067e-11
58,1252.893893681604,1.1823431123048067e-11
59,1252.9437881989636,1.0913936421275139e-11
60,1252.9936827163233,1.0913936421275139e-11
61,1253.043577233683,1.000444171950221e-11
62,1253.0934717510427,1.000444171950221e-11
63,1253.1433662684024,9.094947017729282e-12
64,1253.193260785762,9.094947017729282e-12
65,1253.2431553031217,8.185452315956354e-12
66,1253.2930498204814,7.275957614183426e-12
67,1253.3429443378411,7.275957614183426e-12
68,1253.3928388552008,6.366462912410498e-12
69,1253.4427333725603,4.547473508864641e-12
70,1253.49262788992,2.7284841053187847e-12
71,1253.5425224072796,1.8189894035458565e-12
72,1253.5924169246393,0.0
73,1253.642311441999,-1.8189894035458565e-12
74,1253.6922059593587,-3.637978807091713e-12
75,1253.7421004767184,-5.4569682106375694e-12
76,1253.791994994078,-8.185452315956354e-12
77,1253.8418895114378,-1.000444171950221e-11
78,1253.8917840287975,-1.0913936421275139e-11
79,1253.941678546157,-1.2732925824820995e-11
80,1253.9915730635166,-1.4551915228366852e-11
81,1254.0414675808763,-1.546140993013978e-11
82,1254.091362098236,-1.7280399333685637e-11
83,1254.1412566155957,-1.8189894035458565e-11
84,1254.1911511329554,-2.000888343900442e-11
85,1254.241045650315,-2.000888343900442e-11
86,1254.2909401676748,-2.000888343900442e-11
87,1254.3408346850345,-2.000888343900442e-11
88,1254.3907292023941,-2.000888343900442e-11
89,1254.4406237197538,-2.000888343900442e-11
90,1254.4905182371133,-2.000888343900442e-11
91,1254.540412754473,-2.000888343900442e-11
92,1254.5903072718327,-2.000888343900442e-11
93,1254.6402017891924,-1.9099388737231493e-11
94,1254.690096306552,-1.8189894035458565e-11
95,1254.7399908239117,-1.7280399333685637e-11
96,1254.7898853412714,-1.6370904631912708e-11
97,1254.8397798586311,-1.4551915228366852e-11
98,1254.8896743759908,-1.2732925824820995e-11
99,1254.9395688933505,-1.1823431123048067e-11
100,1254.9894634107102,-1.0913936421275139e-11
101,1255.0393579280696,-1.000444171950221e-11
102,1255.0892524454293,-1.000444171950221e-11
103,1255.139146962789,-1.000444171950221e-11
104,1255.1890414801487,-9.094947017729282e-12
105,1255.2389359975084,-9.094947017729282e-12
106,1255.288830514868,-9.094947017729282e-12
107,1255.3387250322278,-9.094947017729282e-12
108,1255.3886195495875,-9.094947017729282e-12
109,1255.4385140669472,-8.185452315956354e-12
110,1255.4884085843069,-8.185452315956354e-12
111,1255.5383031016665,-9.094947017729282e-12
112,1255.588197619026,-1.000444171950221e-11
113,1255.6380921363857,-1.000444171950221e-11
114,1255.6879866537454,-1.000444171950221e-11
115,1255.737881171105,-1.000444171950221e-11
116,1255.7877756884648,-1.0913936421275139e-11
117,1255.8376702058245,-1.1823431123048067e-11
118,1255.8875647231841,-1.0913936421275139e-11
119,1255.9374592405438,-1.0913936421275139e-11
120,1255.9873537579035,-1.000444171950221e-11
121,1256.0372482752632,-1.000444171950221e-11
122,1256.087142792623,-9.094947017729282e-12
123,1256.1370373099824,-8.185452315956354e-12
124,1256.186931827342,-8.185452315956354e-12
125,1256.2368263447017,-7.275957614183426e-12
126,1256.2867208620614,-5.4569682106375694e-12
127,1256.3366153794211,-5.4569682106375694e-12
128,1256.3865098967808,-3.637978807091713e-12
129,1256.4364044141405,-2.7284841053187847e-12
130,1256.4862989315002,-2.7284841053187847e-12
131,1256.5361934488599,-2.7284841053187847e-12
132,1256.5860879662196,-1.8189894035458565e-12
133,1256.6359824835793,-9.094947017729282e-13
134,1256.6858770009387,0.0
135,1256.7357715182984,0.0
136,1256.785666035658,0.0
137,1256.8355605530178,0.0
138,1256.8854550703775,0.0
139,1256.9353495877372,0.0
140,1256.9852441050969,-9.094947017729282e-13
141,1257.0351386224565,-1.8189894035458565e-12
142,1257.0850331398162,-2.7284841053187847e-12
143,1257.134927657176,-2.7284841053187847e-12
144,1257.1848221745356,-4.547473508864641e-12
145,1257.234716691895,-5.4569682106375694e-12
146,1257.2846112092548,-7.275957614183426e-12
147,1257.3345057266145,-8.185452315956354e-12
148,1257.3844002439741,-1.000444171950221e-11
149,1257.4342947613338,-1.0913936421275139e-11
150,1257.4841892786935,-1.2732925824820995e-11
151,1257.5340837960532,-1.546140993013978e-11
152,1257.583978313413,-1.7280399333685637e-11
153,1257.6338728307726,-1.9099388737231493e-11
154,1257.6837673481323,-2.000888343900442e-11
155,1257.733661865492,-2.1827872842550278e-11
156,1257.7835563828514,-2.2737367544323206e-11
157,1257.8334509002111,-2.2737367544323206e-11
158,1257.8833454175708,-2.2737367544323206e-11
159,1257.9332399349305,-2.2737367544323206e-11
160,1257.9831344522902,-2.2737367544323206e-11
161,1258.0330289696499,-2.2737367544323206e-11
162,1258.0829234870096,-2.1827872842550278e-11
163,1258.1328180043693,-2.1827872842550278e-11
164,1258.182712521729,-2.1827872842550278e-11
165,1258.2326070390886,-2.1827872842550278e-11
166,1258.2825015564483,-2.091837814077735e-11
167,1258.3323960738078,-2.000888343900442e-11
168,1258.3822905911675,-1.9099388737231493e-11
169,1258.4321851085272,-1.8189894035458565e-11
170,1258.4820796258869,-1.8189894035458565e-11
171,1258.5319741432465,-1.7280399333685637e-11
172,1258.5818686606062,-1.6370904631912708e-11
173,1258.631763177966,-1.6370904631912708e-11
174,1258.6816576953256,-1.546140993013978e-11
175,1258.7315522126853,-1.546140993013978e-11
176,1258.781446730045,-1.546140993013978e-11
177,1258.8313412474047,-1.546140993013978e-11
178,1258.8812357647641,-1.6370904631912708e-11
179,1258.9311302821238,-1.7280399333685637e-11
180,1258.9810247994835,-1.8189894035458565e-11
181,1259.0309193168432,-1.8189894035458565e-11
182,1259.080813834203,-1.9099388737231493e-11
183,1259.1307083515626,-2.000888343900442e-11
184,1259.1806028689223,-2.091837814077735e-11
185,1259.230497386282,-2.091837814077735e-11
186,1259.2803919036417,-2.091837814077735e-11
187,1259.3302864210013,-2.1827872842550278e-11
188,1259.3801809383608,-2.091837814077735e-11
189,1259.4300754557205,-2.091837814077735e-11
190,1259.4799699730802,-2.000888343900442e-11
191,1259.5298644904399,-2.000888343900442e-11
192,1259.5797590077996,-1.9099388737231493e-11
193,1259.6296535251593,-1.8189894035458565e-11
194,1259.679548042519,-1.8189894035458565e-11
195,1259.7294425598786,-1.6370904631912708e-11
