freq,ref_ind,epsilon_r,epsilon_i
200000000000.0,1.89,3.5721,0.029846941370603702
209523809523.80954,1.89,3.5721,0.0305439912708465
219047619047.61905,1.89,3.5721,0.031232893926859975
228571428571.4286,1.89,3.5721,0.03191364933864413
238095238095.2381,1.89,3.5721,0.03258625750619895
247619047619.04764,1.89,3.5721,0.03325071842952445
257142857142.85718,1.89,3.5721,0.03390703210862063
266666666666.66672,1.89,3.5721,0.03455519854348748
276190476190.4762,1.89,3.5721,0.03519521773412499
285714285714.2857,1.89,3.5721,0.0358270896805332
295238095238.0952,1.89,3.5721,0.036450814382712075
304761904761.9048,1.89,3.5721,0.03706639184066163
314285714285.7143,1.89,3.5721,0.037673822054381856
323809523809.5238,1.89,3.5721,0.03827310502387275
333333333333.3334,1.89,3.5721,0.03886424074913434
342857142857.1429,1.89,3.5721,0.03944722923016659
352380952380.9524,1.89,3.5721,0.04002207046696952
361904761904.76196,1.89,3.5721,0.040588764459543125
371428571428.5714,1.89,3.5721,0.0411473112078874
380952380952.381,1.89,3.5721,0.04169771071200235
390476190476.19055,1.89,3.5721,0.042239962971887986
400000000000.0,1.89,3.5721,0.04277406798754429
409523809523.8096,1.89,3.5721,0.043300025758971274
419047619047.61914,1.89,3.5721,0.043817836286168935
428571428571.4286,1.89,3.5721,0.044327499569137264
438095238095.2381,1.89,3.5721,0.04482901560787626
447619047619.04767,1.89,3.5721,0.04532238440238595
457142857142.8572,1.89,3.5721,0.04580760595266631
466666666666.66675,1.89,3.5721,0.04628468025871735
476190476190.4762,1.89,3.5721,0.04675360732053905
485714285714.28577,1.89,3.5721,0.04721438713813144
495238095238.0953,1.89,3.5721,0.04766701971149449
504761904761.9047,1.89,3.5721,0.04811150504062823
514285714285.71436,1.89,3.5721,0.04854784312553265
523809523809.52386,1.89,3.5721,0.048976033966207734
533333333333.33344,1.89,3.5721,0.0493960775626535
542857142857.14294,1.89,3.5721,0.04980797391486994
552380952380.9524,1.89,3.5721,0.05021172302285704
561904761904.762,1.89,3.5721,0.05060732488661483
571428571428.5714,1.89,3.5721,0.05099477950614329
580952380952.381,1.89,3.5721,0.051374086881442425
590476190476.1906,1.89,3.5721,0.051745247012512256
600000000000.0001,1.89,3.5721,0.05210825989935273
609523809523.8096,1.89,3.5721,0.052463125541963904
619047619047.619,1.89,3.5721,0.05280984394034574
628571428571.4286,1.89,3.5721,0.05314841509449825
638095238095.2382,1.89,3.5721,0.05347883900442145
647619047619.0476,1.89,3.5721,0.05380111567011531
657142857142.8573,1.89,3.5721,0.05411524509157986
666666666666.6667,1.89,3.5721,0.05442122726881507
676190476190.4762,1.89,3.5721,0.05471906220182097
685714285714.2858,1.89,3.5721,0.055008749890597536
695238095238.0952,1.89,3.5721,0.05529029033514477
704761904761.9049,1.89,3.5721,0.05556368353546269
714285714285.7144,1.89,3.5721,0.0558289294915513
723809523809.5239,1.89,3.5721,0.05608602820341056
733333333333.3334,1.89,3.5721,0.0563349796710405
742857142857.1428,1.89,3.5721,0.05657578389444114
752380952380.9524,1.89,3.5721,0.05680844087361243
761904761904.7618,1.89,3.5721,0.05703295060855439
771428571428.5715,1.89,3.5721,0.05724931309926704
780952380952.3811,1.89,3.5721,0.05745752834575037
790476190476.1906,1.89,3.5721,0.05765759634800437
800000000000.0,1.89,3.5721,0.057849517106029036
809523809523.8096,1.89,3.5721,0.05803329061982439
819047619047.619,1.89,3.5721,0.058208916889390415
828571428571.4287,1.89,3.5721,0.05837639591472711
838095238095.2383,1.89,3.5721,0.05853572769583449
847619047619.0477,1.89,3.5721,0.05868691223271254
857142857142.8572,1.89,3.5721,0.05882994952536127
866666666666.6667,1.89,3.5721,0.05896483957378067
876190476190.4762,1.89,3.5721,0.05909158237797074
885714285714.2856,1.89,3.5721,0.0592101779379315
895238095238.0953,1.89,3.5721,0.059320626253662925
904761904761.9049,1.89,3.5721,0.05942292732516503
914285714285.7144,1.89,3.5721,0.059517081152437805
923809523809.5238,1.89,3.5721,0.059603087735481265
933333333333.3334,1.89,3.5721,0.059680947074295394
942857142857.1428,1.89,3.5721,0.05975065916888019
952380952380.9525,1.89,3.5721,0.05981222401923567
961904761904.7621,1.89,3.5721,0.05986564162536182
971428571428.5715,1.89,3.5721,0.05991091198725866
980952380952.381,1.89,3.5721,0.05994803510492617
990476190476.1906,1.89,3.5721,0.059977010978364345
1000000000000.0,1.89,3.5721,0.05999783960757321
1009523809523.8097,1.89,3.5721,0.06001052099255274
1019047619047.6193,1.89,3.5721,0.06001505513330295
1028571428571.4287,1.89,3.5721,0.06001144202982383
1038095238095.2382,1.89,3.5721,0.059999681682115384
1047619047619.0477,1.89,3.5721,0.05997977409017762
1057142857142.8572,1.89,3.5721,0.05995171925401053
1066666666666.6666,1.89,3.5721,0.05991551717361411
1076190476190.4763,1.89,3.5721,0.05987116784898837
1085714285714.2859,1.89,3.5721,0.05981867128013332
1095238095238.0953,1.89,3.5721,0.059758027467048926
1104761904761.9048,1.89,3.5721,0.059689236409735204
1114285714285.7144,1.89,3.5721,0.059612298108192165
1123809523809.524,1.89,3.5721,0.059527212562419815
1133333333333.3335,1.89,3.5721,0.05943397977241813
1142857142857.143,1.89,3.5721,0.05933259973818711
1152380952380.9524,1.89,3.5721,0.05922307245972678
1161904761904.762,1.89,3.5721,0.059105397937037125
1171428571428.5715,1.89,3.5721,0.058979576170118134
1180952380952.3809,1.89,3.5721,0.05884560715896982
1190476190476.1904,1.89,3.5721,0.0587034909035922
1200000000000.0,1.89,3.5721,0.058553227403985234
1209523809523.8096,1.89,3.5721,0.05839481666014895
1219047619047.6191,1.89,3.5721,0.05822825867208334
1228571428571.4287,1.89,3.5721,0.05805355343978841
1238095238095.238,1.89,3.5721,0.057870700963264146
1247619047619.0476,1.89,3.5721,0.05767970124251058
1257142857142.8572,1.89,3.5721,0.05748055427752766
1266666666666.6667,1.89,3.5721,0.057273260068315415
1276190476190.4763,1.89,3.5721,0.05705781861487387
1285714285714.286,1.89,3.5721,0.056834229917202994
1295238095238.0952,1.89,3.5721,0.05660249397530277
1304761904761.9048,1.89,3.5721,0.05636261078917325
1314285714285.7144,1.89,3.5721,0.056114580358814406
1323809523809.5237,1.89,3.5721,0.05585840268422622
1333333333333.3335,1.89,3.5721,0.055594077765408714
1342857142857.143,1.89,3.5721,0.05532160560236188
1352380952380.9524,1.89,3.5721,0.05504098619508577
1361904761904.762,1.89,3.5721,0.05475221954358027
1371428571428.5715,1.89,3.5721,0.05445530564784545
1380952380952.3809,1.89,3.5721,0.05415024450788136
1390476190476.1907,1.89,3.5721,0.0538370361236879
1400000000000.0002,1.89,3.5721,0.05351568049526513
1409523809523.8096,1.89,3.5721,0.05318617762261302
1419047619047.6191,1.89,3.5721,0.0528485275057316
1428571428571.4287,1.89,3.5721,0.052502730144620854
1438095238095.238,1.89,3.5721,0.052148785539280776
1447619047619.0476,1.89,3.5721,0.05178669368971138
1457142857142.8572,1.89,3.5721,0.05141645459591267
1466666666666.6667,1.89,3.5721,0.05103806825788457
1476190476190.4763,1.89,3.5721,0.05065153467562722
1485714285714.2856,1.89,3.5721,0.05025685384914057
1495238095238.0952,1.89,3.5721,0.0498540257784245
1504761904761.9048,1.89,3.5721,0.04944305046347916
1514285714285.7144,1.89,3.5721,0.0490239279043045
1523809523809.524,1.89,3.5721,0.04859665810090051
1533333333333.3335,1.89,3.5721,0.048161241053267204
1542857142857.1428,1.89,3.5721,0.04771767676140454
1552380952380.9524,1.89,3.5721,0.047265965225312595
1561904761904.762,1.89,3.5721,0.046806106444991294
1571428571428.5713,1.89,3.5721,0.046338100420440675
1580952380952.381,1.89,3.5721,0.0458619471516607
1590476190476.1907,1.89,3.5721,0.04537764663865146
1600000000000.0,1.89,3.5721,0.04488519888141285
1609523809523.8096,1.89,3.5721,0.044384603879944945
1619047619047.6191,1.89,3.5721,0.04387586163424771
1628571428571.4285,1.89,3.5721,0.04335897214432115
1638095238095.2383,1.89,3.5721,0.042833935410165266
1647619047619.0479,1.89,3.5721,0.04230075143178001
1657142857142.8572,1.89,3.5721,0.041759420209165524
1666666666666.6667,1.89,3.5721,0.04120994174232165
1676190476190.4763,1.89,3.5721,0.040652316031248414
1685714285714.2856,1.89,3.5721,0.040086543075945974
1695238095238.0955,1.89,3.5721,0.039512622876414105
1704761904761.905,1.89,3.5721,0.03893055543265295
1714285714285.7144,1.89,3.5721,0.03834034074466244
1723809523809.524,1.89,3.5721,0.03774197881244262
1733333333333.3335,1.89,3.5721,0.03713546963599351
1742857142857.1428,1.89,3.5721,0.03652081321531506
1752380952380.9524,1.89,3.5721,0.035898009550407284
1761904761904.762,1.89,3.5721,0.035267058641270166
1771428571428.5715,1.89,3.5721,0.0346279604879037
1780952380952.381,1.89,3.5721,0.03398071509030795
1790476190476.1907,1.89,3.5721,0.03332532244848285
1800000000000.0,1.89,3.5721,0.03266178256242844
1809523809523.8096,1.89,3.5721,0.03199009543214473
1819047619047.6191,1.89,3.5721,0.03131026105763168
1828571428571.4287,1.89,3.5721,0.030622279438889316
1838095238095.2383,1.89,3.5721,0.029926150575917604
1847619047619.0476,1.89,3.5721,0.029221874468716574
1857142857142.8572,1.89,3.5721,0.028509451117286227
1866666666666.6667,1.89,3.5721,0.027788880521626563
1876190476190.4763,1.89,3.5721,0.0270601626817375
1885714285714.286,1.89,3.5721,0.026323297597619172
1895238095238.0955,1.89,3.5721,0.025578285269271556
1904761904761.9048,1.89,3.5721,0.02482512569669454
1914285714285.7144,1.89,3.5721,0.02406381887988826
1923809523809.524,1.89,3.5721,0.023294364818852636
1933333333333.3333,1.89,3.5721,0.022516763513587695
1942857142857.143,1.89,3.5721,0.02173101496409341
1952380952380.9526,1.89,3.5721,0.020937119170369778
1961904761904.762,1.89,3.5721,0.020135076132416913
1971428571428.5715,1.89,3.5721,0.019324885850234647
1980952380952.381,1.89,3.5721,0.018506548323823035
1990476190476.1904,1.89,3.5721,0.01768006355318219
2000000000000.0,1.89,3.5721,0.016845431538311972
