#
#"Frequency / GHz"	"S1,1 [Mag]"	"S1,1 [Pha in deg.]"	"Ref.Imp. [Mag]"	"Ref.Imp. [Pha in deg.]"
#---------------------------------------------------------------------------------------------
290.00000000000	0.16659222622391	102.86258506936	376.73031346177	0.00000000000000
290.61000000000	0.14049357964298	98.279283456680	376.73031346177	0.00000000000000
291.22000000000	0.11339258919574	93.889278357403	376.73031346177	0.00000000000000
291.83000000000	0.085444372187948	89.943725037124	376.73031346177	0.00000000000000
292.44000000000	0.056851973050087	87.205423458500	376.73031346177	0.00000000000000
293.05000000000	0.028034777159377	89.598797047933	376.73031346177	0.00000000000000
293.66000000000	0.0076578801322762	179.15459571773	376.73031346177	0.00000000000000
294.27000000000	0.033235528194529	-128.37468272335	376.73031346177	0.00000000000000
294.88000000000	0.062713823941540	-127.76180122750	376.73031346177	0.00000000000000
295.49000000000	0.092232944881181	-130.97917258131	376.73031346177	0.00000000000000
296.10000000000	0.12142548671670	-135.25268563123	376.73031346177	0.00000000000000
296.71000000000	0.15006843039072	-139.96896320816	376.73031346177	0.00000000000000
297.32000000000	0.17797365161242	-144.91408962429	376.73031346177	0.00000000000000
297.93000000000	0.20497268500578	-149.99349489254	376.73031346177	0.00000000000000
298.54000000000	0.23091390112088	-155.15889845230	376.73031346177	0.00000000000000
299.15000000000	0.25566197517710	-160.38338898057	376.73031346177	0.00000000000000
299.76000000000	0.27909757416831	-165.65130349581	376.73031346177	0.00000000000000
300.37000000000	0.30111676647241	-170.95356314754	376.73031346177	0.00000000000000
300.98000000000	0.32163009176960	-176.28529757656	376.73031346177	0.00000000000000
301.59000000000	0.34056137696691	178.35547266476	376.73031346177	0.00000000000000
302.20000000000	0.35784643543591	172.96862379280	376.73031346177	0.00000000000000
302.81000000000	0.37343179535198	167.55243040818	376.73031346177	0.00000000000000
303.42000000000	0.38727358746993	162.10389929643	376.73031346177	0.00000000000000
304.03000000000	0.39933669276126	156.61899424771	376.73031346177	0.00000000000000
304.64000000000	0.40959421243518	151.09278116319	376.73031346177	0.00000000000000
305.25000000000	0.41802728249553	145.51950759612	376.73031346177	0.00000000000000
305.86000000000	0.42462521738435	139.89262321151	376.73031346177	0.00000000000000
306.47000000000	0.42938593738748	134.20474403276	376.73031346177	0.00000000000000
307.08000000000	0.43231661660688	128.44756196340	376.73031346177	0.00000000000000
307.69000000000	0.43343448538280	122.61170084914	376.73031346177	0.00000000000000
308.30000000000	0.43276773399632	116.68652057533	376.73031346177	0.00000000000000
308.91000000000	0.43035649174454	110.65987092554	376.73031346177	0.00000000000000
309.52000000000	0.42625389306903	104.51779697395	376.73031346177	0.00000000000000
310.13000000000	0.42052728451343	98.244197807430	376.73031346177	0.00000000000000
310.74000000000	0.41325966624251	91.820441027927	376.73031346177	0.00000000000000
311.35000000000	0.40455149323436	85.224938119036	376.73031346177	0.00000000000000
311.96000000000	0.39452297835085	78.432692723527	376.73031346177	0.00000000000000
312.57000000000	0.38331703681836	71.414848973483	376.73031346177	0.00000000000000
313.18000000000	0.37110298195611	64.138296100035	376.73031346177	0.00000000000000
313.79000000000	0.35808101238724	56.565437113989	376.73031346177	0.00000000000000
314.40000000000	0.34448739715981	48.654314364130	376.73031346177	0.00000000000000
315.01000000000	0.33060002465200	40.359413944619	376.73031346177	0.00000000000000
315.62000000000	0.31674356921050	31.633645128229	376.73031346177	0.00000000000000
316.23000000000	0.30329287039987	22.432177874138	376.73031346177	0.00000000000000
316.84000000000	0.29067217872570	12.718911062945	376.73031346177	0.00000000000000
317.45000000000	0.27934683899745	2.4760938501924	376.73031346177	0.00000000000000
318.06000000000	0.26980330581027	-8.2833401797113	376.73031346177	0.00000000000000
318.67000000000	0.26251426328647	-19.503114963143	376.73031346177	0.00000000000000
319.28000000000	0.25788948506039	-31.075514334911	376.73031346177	0.00000000000000
319.89000000000	0.25622019362255	-42.843970420957	376.73031346177	0.00000000000000
320.50000000000	0.25763209106423	-54.619925787210	376.73031346177	0.00000000000000
321.11000000000	0.26206390569496	-66.210863629184	376.73031346177	0.00000000000000
321.72000000000	0.26928022416459	-77.449728619221	376.73031346177	0.00000000000000
322.33000000000	0.27891339981521	-88.215068006559	376.73031346177	0.00000000000000
322.94000000000	0.29051897554370	-98.436947871719	376.73031346177	0.00000000000000
323.55000000000	0.30362827350789	-108.09092665719	376.73031346177	0.00000000000000
324.16000000000	0.31778825288592	-117.18602326281	376.73031346177	0.00000000000000
324.77000000000	0.33258629621707	-125.75206950491	376.73031346177	0.00000000000000
325.38000000000	0.34766232693384	-133.82942299426	376.73031346177	0.00000000000000
325.99000000000	0.36271219529652	-141.46185301553	376.73031346177	0.00000000000000
326.60000000000	0.37748589686220	-148.69222450816	376.73031346177	0.00000000000000
327.21000000000	0.39178317636821	-155.56022114211	376.73031346177	0.00000000000000
327.82000000000	0.40544810503012	-162.10138486393	376.73031346177	0.00000000000000
328.43000000000	0.41836351918522	-168.34692727734	376.73031346177	0.00000000000000
329.04000000000	0.43044576700471	-174.32395084409	376.73031346177	0.00000000000000
329.65000000000	0.44163995551858	179.94414086078	376.73031346177	0.00000000000000
330.26000000000	0.45191575230294	174.43716889910	376.73031346177	0.00000000000000
330.87000000000	0.46126372504653	169.13770601680	376.73031346177	0.00000000000000
331.48000000000	0.46969216728272	164.03063521049	376.73031346177	0.00000000000000
332.09000000000	0.47722434276885	159.10275068411	376.73031346177	0.00000000000000
332.70000000000	0.48389607544559	154.34240223024	376.73031346177	0.00000000000000
333.31000000000	0.48975361231477	149.73917977361	376.73031346177	0.00000000000000
