freq,epsilon_r       ,epsilon_i       
75400000000,1.649,0.00329
75428571429,1.649,0.00338
75457142857,1.649,0.00347
75485714286,1.649,0.00307
75514285714,1.650,0.00315
75542857143,1.650,0.00323
75571428571,1.650,0.00331
75600000000,1.650,0.00338
75628571429,1.650,0.00346
75657142857,1.650,0.00353
75685714286,1.650,0.00421
75714285714,1.650,0.00429
75742857143,1.650,0.00436
75771428571,1.650,0.00442
75800000000,1.650,0.00386
75828571429,1.650,0.00392
75857142857,1.650,0.00398
75885714286,1.650,0.00404
75914285714,1.650,0.00409
75942857143,1.650,0.00414
75971428571,1.650,0.00419
76000000000,1.650,0.00423
76028571429,1.650,0.00427
76057142857,1.650,0.00431
76085714286,1.650,0.00435
76114285714,1.650,0.00439
76142857143,1.650,0.00442
76171428571,1.650,0.00445
76200000000,1.650,0.00447
76228571429,1.650,0.00450
76257142857,1.650,0.00452
76285714286,1.650,0.00454
76314285714,1.650,0.00455
76342857143,1.650,0.00457
76371428571,1.650,0.00458
76400000000,1.650,0.00458
76428571429,1.650,0.00459
76457142857,1.650,0.00459
76485714286,1.650,0.00459
76514285714,1.650,0.00459
76542857143,1.650,0.00458
76571428571,1.650,0.00457
76600000000,1.650,0.00456
76628571429,1.650,0.00455
76657142857,1.650,0.00454
76685714286,1.650,0.00452
76714285714,1.650,0.00450
76742857143,1.650,0.00447
76771428571,1.650,0.00445
76800000000,1.650,0.00442
76828571429,1.650,0.00439
76857142857,1.650,0.00436
76885714286,1.650,0.00432
76914285714,1.650,0.00429
76942857143,1.650,0.00425
76971428571,1.650,0.00421
77000000000,1.650,0.00417
77028571429,1.650,0.00412
77057142857,1.650,0.00408
77085714286,1.650,0.00403
77114285714,1.650,0.00462
77142857143,1.650,0.00457
77171428571,1.650,0.00452
77200000000,1.650,0.00447
77228571429,1.650,0.00376
77257142857,1.650,0.00371
77285714286,1.650,0.00365
77314285714,1.650,0.00359
77342857143,1.650,0.00353
77371428571,1.650,0.00346
77400000000,1.650,0.00340
77428571429,1.650,0.00334
77457142857,1.650,0.00327
77485714286,1.650,0.00320
77514285714,1.650,0.00314
77542857143,1.650,0.00307
77571428571,1.650,0.00300
77600000000,1.650,0.00293
77628571429,1.650,0.00286
77657142857,1.650,0.00279
77685714286,1.650,0.00272
77714285714,1.650,0.00265
77742857143,1.650,0.00257
77771428571,1.650,0.00250
77800000000,1.650,0.00243
77828571429,1.650,0.00236
77857142857,1.650,0.00228
77885714286,1.650,0.00221
77914285714,1.650,0.00214
77942857143,1.650,0.00206
77971428571,1.650,0.00199
78000000000,1.650,0.00192
78028571429,1.650,0.00184
78057142857,1.650,0.00177
78085714286,1.650,0.00170
78114285714,1.650,0.00163
78142857143,1.650,0.00156
78171428571,1.650,0.00149
78200000000,1.651,0.00141
78228571429,1.651,0.00134
78257142857,1.651,0.00127
78285714286,1.651,0.00120
78314285714,1.651,0.00114
78342857143,1.651,0.00107
78371428571,1.651,0.00100
78400000000,1.651,0.00093
78428571429,1.651,0.00087
78457142857,1.651,0.00080
78485714286,1.651,0.00074
78514285714,1.651,0.00067
78542857143,1.651,0.00061
78571428571,1.651,0.00055
78600000000,1.651,0.00049
78628571429,1.651,0.00043
78657142857,1.651,0.00041
78685714286,1.651,0.00035
78714285714,1.651,0.00029
78742857143,1.651,0.00022
78771428571,1.651,0.00016
78800000000,1.651,0.00010
78828571429,1.651,0.00005
78857142857,1.651,-0.00002
78885714286,1.651,-0.00007
78914285714,1.651,-0.00013
78942857143,1.651,-0.00017
78971428571,1.651,-0.00022
79000000000,1.651,-0.00027
79028571429,1.651,-0.00037
79057142857,1.652,-0.00041
79085714286,1.652,-0.00048
79114285714,1.652,-0.00052
79142857143,1.652,-0.00056
79171428571,1.652,-0.00053
79200000000,1.652,-0.00057
79228571429,1.652,-0.00060
79257142857,1.652,-0.00064
79285714286,1.652,-0.00068
79314285714,1.652,-0.00071
79342857143,1.652,-0.00087
79371428571,1.652,-0.00090
79400000000,1.652,-0.00093
79428571429,1.652,-0.00083
79457142857,1.652,-0.00086
79485714286,1.652,-0.00089
79514285714,1.652,-0.00091
79542857143,1.652,-0.00094
79571428571,1.652,-0.00096
79600000000,1.652,-0.00116
79628571429,1.652,-0.00118
79657142857,1.652,-0.00119
79685714286,1.652,-0.00121
79714285714,1.652,-0.00122
79742857143,1.652,-0.00124
79771428571,1.652,-0.00108
79800000000,1.653,-0.00110
79828571429,1.653,-0.00111
79857142857,1.653,-0.00112
79885714286,1.653,-0.00113
79914285714,1.653,-0.00114
79942857143,1.653,-0.00115
79971428571,1.653,-0.00115
